Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,0.001,16,3.296963,1.2690824,1.815754106826056,2.9565084,2.9706132,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,72.8779,4.778656,8.536855344324506,239130140.0,12.901115,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,127.69099,7.213725,11.300043656256411,6.397761,5.6817174,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,213.82945,10.687156,14.622908483425876,48.141487,29.550938,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,28.53669,3.6385524,5.341974331490257,174915600.0,83.35321,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,3.199224,1.291346,1.7886374689155822,3.0138075,2.9739616,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,76.35821,5.4572406,8.738318356676913,247136800.0,14.356764,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,136.18694,7.556232,11.669915827665797,6.708405,5.9081526,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,16,209.20238,10.628368,14.46382996717453,46.36718,29.611546,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,16,37.68394,4.3416557,6.138724695525218,231319300.0,88.051315,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,16,2.9182117,1.1818566,1.708277406785006,2.75043,2.789159,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,16,69.44709,4.552865,8.333492074090296,240803520.0,12.41994,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,16,108.002525,5.9413137,10.392426344679563,5.4102054,4.7573967,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,32,225.46227,10.79806,15.015400927535982,50.295853,29.840332,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,32,28.556046,4.260402,5.343785692954627,264802260.0,92.92584,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,32,2.539961,1.1789415,1.5937255408710227,2.7449186,2.7542922,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,32,66.9159,3.9346004,8.180214006007546,243223060.0,10.894089,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,32,103.41111,5.7024293,10.169125327397456,5.2030783,4.5636635,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,16,222.61127,11.144564,14.920163105336474,50.623478,30.421675,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,16,32.7788,3.7840507,5.725277370080463,243679200.0,80.16385,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,16,4.1446037,1.415465,2.035829985349476,3.2885458,3.368079,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,16,82.266556,6.1272316,9.070091277717816,225448320.0,16.028397,7.751767,47.57233
