Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Frankrike_hourly,500,48,0.005,16,73.173225,5.1050367,8.554134988579033,227483860.0,13.339642,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.005,16,238.95763,11.864787,15.45825431097488,10.112278,8.975933,9.212003,131.0256
Volumrate_Easington_hourly,500,48,0.005,32,308.80383,13.533238,17.57281517025125,56.269028,36.002274,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.005,32,25.88224,2.4973536,5.087459119777785,125835384.0,60.648674,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.005,32,5.5495963,1.5483778,2.3557581178172486,3.589264,3.7327275,0.70383817,43.221252
Volumrate_Frankrike_hourly,500,48,0.005,32,95.396805,7.369463,9.767128790467048,217755280.0,18.696323,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.005,32,145.74287,7.89073,12.072401341303552,6.951948,6.214003,9.212003,131.0256
Volumrate_Easington_hourly,500,48,0.001,16,359.08414,15.080723,18.949515480953348,59.34621,39.58903,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,16,28.160112,3.2437532,5.306610253352082,181423340.0,73.13427,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.001,16,3.9299927,1.1636345,1.9824209128692247,2.7136922,2.7591577,0.70383817,43.221252
Volumrate_Frankrike_hourly,500,48,0.001,16,93.10787,5.5956793,9.649242043252793,245487920.0,14.631787,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.001,16,150.882,8.082153,12.283403591194897,7.1678505,6.2635193,9.212003,131.0256
Volumrate_Easington_hourly,500,48,0.001,32,406.35788,16.102976,20.15832035757622,65.21182,41.898277,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,32,27.129002,2.998079,5.208550817399369,151519920.0,70.00659,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.001,32,3.3943949,1.250763,1.842388361495142,2.9020598,2.974527,0.70383817,43.221252
Volumrate_Frankrike_hourly,500,48,0.001,32,76.938194,4.2642426,8.77144197238415,250875860.0,11.394403,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.001,32,182.5494,9.220752,13.51108406828243,8.057619,7.0397983,9.212003,131.0256
Volumrate_Easington_hourly,500,48,0.00075,16,436.15393,17.524937,20.8842986634472,65.44323,45.514984,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.00075,16,35.41344,3.5621197,5.950919315899494,190314510.0,75.02749,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.00075,16,3.5811164,1.4235522,1.8923837977302562,3.3019166,3.3825152,0.70383817,43.221252
