Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_St_Fergus_hourly,500,24,0.001,64,32.27648,3.9897974,5.681239444735451,1.5149769,-0.23057997,79057390.0,118.52254,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,64,50.172466,6.124403,7.083252521128706,0.16389762,-100.997665,14.1803,13.948816,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,64,157.11864,8.96743,12.534697327217796,0.26348713,-1.6147263,261098880.0,19.929497,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,64,1264.1649,28.323254,35.555096920022415,0.27138448,-13.922851,22.74499,19.17462,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,16,469.3909,18.27524,21.6654309825169,0.4794113,-0.19208491,48.20459,48.24387,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,16,26.496866,3.7153392,5.147510682475199,1.372651,-0.010225177,119476780.0,108.09216,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,16,31.63819,4.565426,5.624783490570628,0.13015047,-63.318573,10.567911,10.521724,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,16,72.203545,6.505634,8.49726689098908,0.17861784,-0.20159197,175342110.0,16.744556,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,16,705.613,21.188585,26.563376593991563,0.20275259,-7.329418,16.984812,15.009062,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,32,479.85654,19.10493,21.905627972400936,0.4847264,-0.21866381,56.23495,50.37242,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,32,34.00345,4.1871943,5.831247592610704,1.5549785,-0.29642284,103457176.0,110.967186,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,32,37.37489,5.18697,6.113500582626888,0.14145876,-74.98095,11.992019,12.34248,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,32,88.13475,7.2519894,9.388010990950688,0.19734183,-0.46671498,196292900.0,18.214111,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,32,733.4649,20.494621,27.082557205425715,0.20671539,-7.6581955,16.504515,14.386949,9.203986,131.01375
